["CC(C(NC1CCCCCCC1)=O)Oc1cccc(Cl)c1", 0.222]
["O=C(c1noc(-c2cccc(Cl)c2)c1)NC1CCCCC1", 0.221]
["O=C(c1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCC1", 0.221]
["NC(N1c(cc2)ccc2Cl)=C(C(NC2CCCCC2)=O)SC1=S", 0.221]
["CCN(CC1)CCC1NC(c(s1)ccc1Cl)=O", 0.221]
["CC(C(NC1CCCC1)=O)n(c(cc1)c2cc1Cl)nc2-c1ccccc1", 0.221]
["O=C(c1cc(NS(c(cc2)ccc2Cl)(=O)=O)cnc1)NC1CCCCC1", 0.22]
["O=C(CSc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCC1", 0.22]
["CCc1c(C)sc(NC(c2noc(C)c2)=O)c1C(NC1CCCC1)=O", 0.22]
["CC(c1nc(cccc2)c2n1CCC1CCCCC1)NC(c1ccco1)=O", 0.22]
["CC(Nc(n(-c(cc1)ccc1C(NC1CCCC1)=O)nc1C)c1-c(cc1)ccc1Cl)=O", 0.22]
["CC(C(NC1CCCC1)=O)Oc(ccc(F)c1)c1Cl", 0.22]
["CC(C(NC1CC1)=O)n(c(cc1)c2cc1Cl)nc2-c1ccccc1", 0.22]
["O=C(c1ccc(-c(cc2)cc(F)c2F)s1)NCC1CCCCCC1", 0.219]
["Cc1nc(NC(CCSC)C(NC2CCCCCCC2)=O)nc(C)c1", 0.219]
["Cc([nH]nc1-c(cc2)ccc2Cl)c1NC(CC1CCCC1)=O", 0.219]
["CC(C1OCCC1)NC(c1ccc(C)s1)=O", 0.219]
["CC(C)c1c(C(NC2CC2)=O)c(C(C)C)nn1-c1cccc(Cl)c1", 0.219]
["CC(C(NC1CCCC1)=O)Oc(cccc1)c1Cl", 0.219]
["CCc1ccc(C(Nc2ccncc2)=O)s1", 0.218]
["CCc1c(C)sc(NC(c2cnccc2)=O)c1C(NC1CCCC1)=O", 0.218]
["CCN(C(C(NC1CCCC1)=O)c(cc1)ccc1Cl)c1cc(C)ccc1", 0.218]
["CCC(N(CC1)CCN1C(C1CCCC1)C(Nc1cccc(Cl)c1)=O)=O", 0.218]
["CCC(C(NC1CC1)=O)N(c1nc(C(C)(C)C)cs1)c(cc1)ccc1OC", 0.218]
["CC(C(NC1CCCCCC1)=O)n(c(cc1)c2cc1Cl)nc2-c1ccccc1", 0.218]
["CC(C(NC1CCCCCC1)=O)Oc(cc1)c(C)cc1Cl", 0.218]
["O=C(c1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCCCC1", 0.217]
["O=C(c1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCCC1", 0.217]
["O=C(c1ccc(-c(cccc2)c2Cl)s1)NC1CC1", 0.217]
["O=C(C(c(cc1)ccc1Cl)N(CC1)CCN1C1CCCCC1)NC1CCCCC1", 0.217]
["Cc1ccc(C(NCc2ccc(-c3nc(C4CC4)no3)s2)=O)s1", 0.217]
["Cc(c1c2sc(C(NC3CCCCCC3)=O)c1)nn2-c(cc1)ccc1Cl", 0.217]
["Cc(c1c2sc(C(NC3CCCCC3)=O)c1)nn2-c(cc1)ccc1Cl", 0.217]
["CCc1c(C)sc(NC(c2noc(C)c2)=O)c1C(NC1CC1)=O", 0.217]
["CC(c1cnccc1)NC(NC1CCCC1)=O", 0.217]
["CC(C1OCCC1)NC(c(s1)ccc1Br)=O", 0.217]
["O=C(c1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCCCCC1", 0.216]
["O=C(c(s1)ccc1Cl)NCC1CCOCC1", 0.216]
["O=C(c(s1)ccc1Br)NC1CCCC1", 0.216]
["O=C(CSc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCCCC1", 0.216]
["O=C(CSc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCCC1", 0.216]
["Cc1c(C(NC2CC2)=O)sc2nc(-c3ccccc3)c(NCCCOC)n12", 0.216]
["Cc1c(C(NC2CC2)=O)sc(CC(Nc(cc2)ccc2Cl)=O)n1", 0.216]
["CN(CC1)CCC1NC(c(s1)ccc1Cl)=O", 0.216]
["CCc1ccc(C(Nc2noc(C)c2)=O)s1", 0.216]
["CCc1ccc(-c2cc(C(NC3CCCCC3)=O)c(cc(cc3)Cl)c3n2)s1", 0.216]
["CCc1c(C)sc(NC(c2cnccc2)=O)c1C(NC1CC1)=O", 0.216]
["CCCc(sc(C(NC1CC1)=O)c1)c1Br", 0.216]
["CCC(C(NC(CC1)CCC1NC(C(CC)Oc1ccccc1)=O)=O)Oc1ccccc1", 0.216]
["CC(c1nc(cccc2)c2n1CC1CCCCC1)NC(c1ccco1)=O", 0.216]
["CC(CC1)CCN1C(C(NC1CCCCC1)=O)c(cc1)ccc1Cl", 0.216]
["O=C(c1ccc(-c2ccccc2)s1)NC1CCCCCC1", 0.215]
["O=C(c1ccc(-c2ccccc2)s1)NC1CCCCC1", 0.215]
["CCc1ccc(C(NCc2cnccc2)=O)s1", 0.215]
["CCc1ccc(C(NCc2cn(C)nc2)=O)s1", 0.215]
["CCc1ccc(C(NCc(cc2)cc(Cl)c2Cl)=O)s1", 0.215]
["CCc1c(C)sc(NC(c2cnccc2)=O)c1C(NC1CCCCC1)=O", 0.215]
["CCc1c(C)sc(NC(c(n(C)nc2)c2Cl)=O)c1C(NC1CCCC1)=O", 0.215]
["CCN(C(C(NC1CCCCC1)=O)c(cc1)ccc1Cl)c1cc(C)ccc1", 0.215]
["CCCN(CC1)CCC1NC(c(s1)ccc1Cl)=O", 0.215]
["CCC(C(NC1CCC(C)CC1)=O)Sc1nc(ccnc2)c2[nH]1", 0.215]
["CC(C(NC1CCCCCC1)=O)Oc(cccc1)c1Cl", 0.215]
["CC(C(NC1CC1)=O)N(CC1)CCN1c(cc1)ccc1Cl", 0.215]
["O=C(c1noc(-c2ccc(C3CCCCC3)cc2)c1)NC1CC1", 0.214]
["O=C(c1ccco1)Nc1c(C(NC2CC2)=O)c(CCCC2)c2s1", 0.214]
["O=C(CCCc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCC1", 0.214]
["Cc1c(C)sc(NC(c2c(C)occ2)=O)c1C(NC1CCCCC1)=O", 0.214]
["COCCN(C(C(NC1CCCCC1)=O)c(cc1)ccc1Cl)C(CCl)=O", 0.214]
["CCc1ccc(C(Nc2ncc(C)s2)=O)s1", 0.214]
["CCOc(cc1)ccc1-c1ccc(C(NCC2CCCCCC2)=O)s1", 0.214]
["CCCn(c(C(NC1CCCC1)=O)c1)nc1-c(s1)ccc1Cl", 0.214]
["CC(c1ccncc1)NC(NC1CCCC1)=O", 0.214]
["CC(C)CC(C)NC(c1ccc(-c2cccc(Cl)c2)s1)=O", 0.214]
["c1(noc(c1)c1ccc(cc1)C)C(NC1CCCC1)=O", 0.213]
["O=C(c(s1)ccc1Br)NC1CC1", 0.213]
["O=C(CCCc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCCC1", 0.213]
["Cn1ncc(Cl)c1C(Nc1c(C(NC2CC2)=O)c(-c2ccccc2)cs1)=O", 0.213]
["Cc1c(C(NC2CC2)=O)sc(CC(Nc(cc2)cc(Cl)c2F)=O)n1", 0.213]
["Cc(c(C(NC1CCCC1)=O)c1)nc(C=CN2Cc3ccccc3)c1C2=O", 0.213]
["COc(ccc(Cl)c1)c1N(C(N)=C(C(NC1CCCC1)=O)S1)C1=S", 0.213]
["CN(CCc1noc(C(NCc(cc2)ccc2Cl)=O)n1)C(NC1CCCC1)=O", 0.213]
["CCOC(c1c(NC(c2ccco2)=O)sc(C(NC2CCCC2)=O)c1C)=O", 0.213]
["CC(c1cnccc1)NC(NC1CCCCC1)=O", 0.213]
["CC(CC1)CCC1NC(C(c(cc1)ccc1Cl)N(Cc1cccs1)C(CCl)=O)=O", 0.213]
["CC(C)CC(C(NC1CCCCCC1)=O)NS(c(cc1)cc2c1nc(C)s2)(=O)=O", 0.213]
["CC(C)CC(C(NC1CCCCC1)=O)NS(c(cc1)cc2c1nc(C)s2)(=O)=O", 0.213]
["Cc1cc(cccc2)c2n1-c1ccc(C(NC2CCCC2)=O)s1", 0.212]
["CCc1ccc(C(Nc(cccc2)c2Cl)=O)s1", 0.212]
["CCc1ccc(C(NCc2ccncc2)=O)s1", 0.212]
["CCc1c(C)sc(NC(c2ccncc2)=O)c1C(NC1CCCC1)=O", 0.212]
